# Compact offline IEEE Registration Authority public-listing snapshot.
# Generated 2026-08-30 from MA-L, MA-M and MA-S CSV listings.
# Format: hexadecimal prefix/prefix length<TAB>organization.
286FB9/24	Nokia Shanghai Bell Co.
E80AB9/24	Cisco Systems
78465F/24	Fiberhome Telecommunication Technologies Co.
F01B24/24	zte corporation
E00630/24	HUAWEI TECHNOLOGIES CO.
644ED7/24	HP Inc.
9CE330/24	Cisco Meraki
04A959/24	New H3C Technologies Co.
0CB983/24	Honor Device Co.
2CB301/24	Honor Device Co.
E4C767/24	Intel Corporate
D48AFC/24	Espressif Inc.
E465B8/24	Espressif Inc.
B4DF91/24	Cisco Meraki
98EE8C/24	zte corporation
90C710/24	zte corporation
CCEB5E/24	Xiaomi Communications Co Ltd
DC5193/24	zte corporation
F42E48/24	zte corporation
481BA4/24	Cisco Systems
F0EE7A/24	Apple
203AEB/24	zte corporation
D8DAF1/24	HUAWEI TECHNOLOGIES CO.
54443B/24	HUAWEI TECHNOLOGIES CO.
5C7075/24	HUAWEI TECHNOLOGIES CO.
58AD12/24	Apple
60FDA6/24	Apple
80A997/24	Apple
348C5E/24	Apple
708185/24	New H3C Technologies Co.
08F01E/24	eero inc.
6C03B5/24	Cisco Systems
F43A7B/24	zte corporation
689E29/24	zte corporation
E44097/24	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
DCB4CA/24	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
A002A5/24	Intel Corporate
ACC048/24	OnePlus Technology (Shenzhen) Co.
842859/24	Amazon Technologies Inc.
5016F4/24	Motorola Mobility LLC
90ECE3/24	Nokia
887B2C/24	zte corporation
B851A9/24	Nokia
641B2F/24	Samsung Electronics Co.
9C73B1/24	Samsung Electronics Co.
388A06/24	Samsung Electronics Co.
40D4F6/24	Honor Device Co.
B8AB61/24	Cisco Meraki
782DAD/24	HUAWEI TECHNOLOGIES CO.
D06158/24	HUAWEI TECHNOLOGIES CO.
244BF1/24	HUAWEI TECHNOLOGIES CO.
908855/24	Cisco Systems
687161/24	Cisco Systems
0080B8/24	DMG MORI Digital Co.
2873F6/24	Amazon Technologies Inc.
C4EBFF/24	zte corporation
D4BAFA/24	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
4CEC0F/24	Cisco Systems
E0CB1D/24	Amazon Technologies Inc.
201582/24	Apple
40921A/24	Apple
10E2C9/24	Apple
D0431E/24	Dell Inc.
F0A0B1/24	HUAWEI TECHNOLOGIES CO.
404F42/24	HUAWEI TECHNOLOGIES CO.
3086F1/24	Fiberhome Telecommunication Technologies Co.
00C04F/24	Dell Inc.
00B0D0/24	Dell Inc.
0019B9/24	Dell Inc.
001AA0/24	Dell Inc.
002564/24	Dell Inc.
A4BADB/24	Dell Inc.
782BCB/24	Dell Inc.
14FEB5/24	Dell Inc.
180373/24	Dell Inc.
74867A/24	Dell Inc.
204747/24	Dell Inc.
000BDB/24	Dell Inc.
00123F/24	Dell Inc.
A41F72/24	Dell Inc.
001C23/24	Dell Inc.
847BEB/24	Dell Inc.
989096/24	Dell Inc.
801844/24	Dell Inc.
9840BB/24	Dell Inc.
D481D7/24	Dell Inc.
54BF64/24	Dell Inc.
CCC5E5/24	Dell Inc.
4CD98F/24	Dell Inc.
DCF401/24	Dell Inc.
6C2B59/24	Dell Inc.
C8F750/24	Dell Inc.
98E743/24	Dell Inc.
185A58/24	Dell Inc.
D08E79/24	Dell Inc.
B44506/24	Dell Inc.
E0D848/24	Dell Inc.
04BF1B/24	Dell Inc.
148477/24	New H3C Technologies Co.
14962D/24	New H3C Technologies Co.
7066B9/24	Huawei Device Co.
C4A1AE/24	Huawei Device Co.
FCD749/24	Amazon Technologies Inc.
74EE8D/24	Apollo Intelligent Connectivity (Beijing) Technology Co.
9497AE/24	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
0CBD75/24	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
AC9073/24	HUAWEI TECHNOLOGIES CO.
F09FC2/24	Ubiquiti Inc
802AA8/24	Ubiquiti Inc
FC1D3A/24	HUAWEI TECHNOLOGIES CO.
E4BEFB/24	HUAWEI TECHNOLOGIES CO.
58F8D7/24	HUAWEI TECHNOLOGIES CO.
788A20/24	Ubiquiti Inc
7483C2/24	Ubiquiti Inc
E063DA/24	Ubiquiti Inc
245A4C/24	Ubiquiti Inc
602232/24	Ubiquiti Inc
E43883/24	Ubiquiti Inc
B8EA98/24	Xiaomi Communications Co Ltd
AC800A/24	Sony Corporation
E878EE/24	New H3C Technologies Co.
7C4D8F/24	HP Inc.
74D558/24	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
F46412/24	Sony Interactive Entertainment Inc.
